Index	USGS	Pseudo_Length	Station_Skew	log10_DA	Lat_Cntrd	Long_Cntrd	Residuals
850	3102500	97	0.005	1.970	41.43959466	-80.28050668	-0.081
852	3106000	98	0.589	2.551	40.82396713	-79.98020975	0.503
853	3108000	88	0.419	2.253	40.47852663	-80.36034393	0.332
865	4287000	80	0.262	1.884	44.13318532	-72.68701646	0.176
866	4288000	150	0.785	2.148	44.17281657	-72.83915952	0.699
867	4292000	87	0.001	2.498	44.56369603	-72.43939425	-0.085
869	4293800	47	-0.509	0.237	44.881128	-72.977582	-0.595
870	4024430	40	1.066	2.625	46.49024312	-92.36100094	0.980
871	4025500	69	0.354	2.068	46.4717291	-91.68721671	0.268
872	4027000	72	0.323	2.796	46.33921844	-90.65976745	0.237
873	4060993	71	0.387	2.576	46.03612555	-88.68271159	0.301
875	4064500	69	0.171	2.729	45.8339856	-88.63378086	0.084
876	4069500	60	0.264	3.046	45.37654032	-88.29448472	0.178
877	4071000	99	0.020	2.845	45.17010115	-88.48683258	-0.066
882	4073500	117	-0.179	3.120	43.80838353	-89.28355469	-0.265
885	4077400	91	0.458	2.917	45.273316	-88.87694758	0.372
887	4078500	85	0.124	2.581	44.84071028	-89.04165111	0.038
888	4079000	89	-0.839	3.351	44.91735002	-88.80934772	-0.925
889	4080000	65	-0.572	2.712	44.55974996	-89.10362231	-0.659
890	4081000	62	-0.553	2.438	44.4002305	-89.26791094	-0.639
893	4085200	55	0.091	2.091	44.53816626	-87.69712514	0.005
895	4085427	40	-0.039	2.715	44.10271682	-88.0337735	-0.125
896	4086000	70	-0.555	2.628	43.77407675	-88.03163172	-0.641
897	4086500	75	-0.040	2.078	43.33761833	-88.12974559	-0.126
899	4087000	99	0.192	2.843	43.47000271	-88.11600866	0.106
900	4087030	37	0.453	1.530	43.2238052	-88.12901631	0.367
901	4087050	42	-0.295	0.921	43.2329402	-88.03484213	-0.381
902	4087088	39	0.290	1.256	43.04452926	-88.08377587	0.203
903	4087120	52	0.359	2.093	43.14059663	-88.07679719	0.273
904	4087159	37	0.045	1.267	42.97389452	-87.94233239	-0.041
905	4087204	50	1.213	1.411	42.89832882	-87.9144636	1.127
906	4087220	50	0.802	1.694	42.93706582	-88.03603713	0.716
907	4087240	50	0.148	2.278	42.82222111	-87.98671181	0.062
908	4087257	42	-0.502	1.578	42.65996952	-87.89430819	-0.588
959	3054500	84	0.169	2.960	38.84298881	-80.046859	0.083
960	3061500	104	-0.318	2.064	39.55203899	-80.3528044	-0.405
961	3062400	37	0.962	1.043	39.56144927	-79.92159397	0.876
962	3066000	92	0.806	1.935	39.11187555	-79.40260785	0.720
963	3070000	79	0.684	2.971	38.98109108	-79.63111391	0.598
964	3070500	100	1.058	2.301	39.70261372	-79.61786096	0.972
966	3114500	93	0.183	2.661	39.37224799	-80.75775956	0.097
967	3153500	39	-0.331	2.961	38.87301335	-80.73331488	-0.417
968	3154000	66	-0.192	2.311	38.73489222	-81.13851722	-0.278
970	3155500	61	-0.071	2.656	39.17242939	-81.02582343	-0.158
972	3200500	58	-0.430	2.934	37.99142248	-81.64335511	-0.517
973	3201000	55	-0.172	2.377	38.62899514	-81.49607929	-0.258
974	3204000	61	-1.374	3.088	37.74866517	-81.75199574	-1.460
975	3204500	46	0.444	2.406	38.24097831	-82.02254983	0.358
976	3206600	49	-0.291	1.585	37.95322578	-82.24187727	-0.377
977	3207020	43	-0.030	2.477	38.05238627	-82.33693573	-0.116
